variant_id	DIFF_LOG2_data1	DIFF_LOG2_data2	CHR	POS1	POS2	transcription_factor_data1	haplotype1_data1	haplotype2_data1	HMAX_data1	transcription_factor_data2	haplotype1_data2	haplotype2_data2	HMAX_data2	LENGTH	Unnamed: 0	btwn_lines
chr1_116672611_116672820	3.17	3.74	chr1	116672611	116672820	CTCF	5.0	45.0	45	CTCF	5462.0	408.925	5462.0	209	24	1
chr1_116919871_116920080	-4.954	0.006	chr1	116919871	116920080	CTCF	31.0	1.0	31	CTCF	3077.5	3064.504	3077.5	209	25	0
chr1_119674921_119675013	6.248	0.02	chr1	119674921	119675013	CTCF	3.0	228.0	228	CTCF	7660.0	7556.008	7660.0	92	34	0
chr1_149708706_149708784	5.0	0.297	chr1	149708706	149708784	CTCF	1.0	32.0	32	CTCF	859.375	699.685	859.375	78	46	0
chr1_151135541_151135750	3.663	2.581	chr1	151135541	151135750	CTCF	3.0	38.0	38	CTCF	2453.0	409.833	2453.0	209	50	0
chr1_152142120_152142236	6.943	-0.026	chr1	152142120	152142236	CTCF	1.0	123.0	123	CTCF	6740.021	6862.0	6862.0	116	52	0
chr1_154749197_154749313	-4.248	0.03	chr1	154749197	154749313	CTCF	19.0	1.0	19	CTCF	4060.0	3976.024	4060.0	116	58	0
chr1_157311247_157311325	3.907	-0.636	chr1	157311247	157311325	CTCF	4.0	60.0	60	CTCF	4284.358	6660.0	6660.0	78	71	0
chr1_160692563_160692731	5.087	-0.234	chr1	160692563	160692731	CTCF	1.0	34.0	34	CTCF	1829.651	2152.5	2152.5	168	76	0
chr1_160990397_160990445	-5.966	0.057	chr1	160990397	160990445	CTCF	125.0	2.0	125	CTCF	6830.0	6566.036	6830.0	48	79	0
chr1_161566293_161566389	-6.248	-0.081	chr1	161566293	161566389	CTCF	76.0	1.0	76	CTCF	4579.802	4843.75	4843.75	96	83	0
chr1_16352318_16352686	6.966	-0.022	chr1	16352318	16352686	CTCF	1.0	125.0	125	CTCF	1427.016	1449.0	1449.0	368	88	0
chr1_174144221_174144781	-3.129	0.908	chr1	174144221	174144781	CTCF	105.0	12.0	105	CTCF	1289.0	686.967	1289.0	560	119	0
chr1_178551425_178551509	-3.524	-0.706	chr1	178551425	178551509	CTCF	23.0	2.0	23	CTCF	401.887	655.5	655.5	84	125	0
chr1_200302120_200302724	4.7	-0.056	chr1	200302120	200302724	CTCF	1.0	26.0	26	CTCF	691.288	718.5	718.5	604	148	0
chr1_201184977_201185143	-4.629	-2.58	chr1	201184977	201185143	CTCF	198.0	8.0	198	CTCF	866.832	5183.0	5183.0	166	150	0
chr1_202464279_202464557	-6.304	-0.162	chr1	202464279	202464557	CTCF	79.0	1.0	79	CTCF	5010.107	5605.0	5605.0	278	155	0
chr1_206911183_206911383	5.392	-0.035	chr1	206911183	206911383	CTCF	1.0	42.0	42	CTCF	5238.02	5368.0	5368.0	200	174	0
chr1_212591874_212591958	-4.0	-2.2	chr1	212591874	212591958	CTCF	64.0	4.0	64	CTCF	218.032	1002.0	1002.0	84	189	0
chr1_216742783_216742879	4.17	0.076	chr1	216742783	216742879	CTCF	1.0	18.0	18	CTCF	2393.5	2270.051	2393.5	96	199	0
chr1_21854983_21856217	4.0	0.006	chr1	21854983	21856217	CTCF	1.0	16.0	16	CTCF	391.5	390.004	391.5	1234	200	0
chr1_224945879_224946347	-4.392	0.077	chr1	224945879	224946347	CTCF	21.0	1.0	21	CTCF	1997.5	1893.552	1997.5	468	212	0
chr1_245857359_245857455	-7.839	-0.958	chr1	245857359	245857455	CTCF	229.0	1.0	229	CTCF	671.985	1305.0	1305.0	96	251	0
chr1_246971348_246971638	3.087	0.002	chr1	246971348	246971638	CTCF	4.0	34.0	34	CTCF	2638.0	2635.002	2638.0	290	255	0
chr1_25523601_25523810	3.7	2.091	chr1	25523601	25523810	CTCF	15.0	195.0	195	CTCF	6357.0	1491.765	6357.0	209	263	0
chr1_29880726_29880764	3.087	3.427	chr1	29880726	29880764	CTCF	2.0	17.0	17	CTCF	3132.0	291.157	3132.0	38	275	1
chr1_42146913_42147199	-4.555	-0.0	chr1	42146913	42147199	CTCF	141.0	6.0	141	CTCF	6350.002	6352.0	6352.0	286	322	0
chr1_44925011_44925443	5.285	-0.064	chr1	44925011	44925443	CTCF	1.0	39.0	39	CTCF	1185.793	1239.5	1239.5	432	334	0
chr1_47143730_47143912	-3.624	0.046	chr1	47143730	47143912	CTCF	74.0	6.0	74	CTCF	3953.0	3828.03	3953.0	182	337	0
chr1_53541811_53542020	-3.807	-1.814	chr1	53541811	53542020	CTCF	28.0	2.0	28	CTCF	1080.716	3799.0	3799.0	209	345	0
chr1_54808397_54809173	3.022	0.033	chr1	54808397	54809173	CTCF	8.0	65.0	65	CTCF	1592.5	1556.023	1592.5	776	351	0
chr1_63367422_63367828	3.296	0.155	chr1	63367422	63367828	CTCF	17.0	167.0	167	CTCF	1282.0	1151.102	1282.0	406	367	0
chr1_84387911_84387969	4.585	3.06	chr1	84387911	84387969	CTCF	2.0	48.0	48	CTCF	2831.0	339.38	2831.0	58	388	0
chr1_91547001_91547210	-4.248	-2.273	chr1	91547001	91547210	CTCF	38.0	2.0	38	CTCF	438.793	2120.5	2120.5	209	408	0
chr1_94369575_94369687	3.322	0.005	chr1	94369575	94369687	CTCF	3.0	30.0	30	CTCF	533.5	531.504	533.5	112	418	0
chr2_100670379_100670503	-5.443	-2.571	chr2	100670379	100670503	CTCF	87.0	2.0	87	CTCF	288.332	1713.5	1713.5	124	2057	0
chr2_106384619_106384971	-4.248	0.074	chr2	106384619	106384971	CTCF	19.0	1.0	19	CTCF	451.5	429.05	451.5	352	2071	0
chr2_109495436_109495514	3.322	2.511	chr2	109495436	109495514	CTCF	3.0	30.0	30	CTCF	1477.0	259.199	1477.0	78	2080	1
chr2_111135079_111136411	-3.322	-0.056	chr2	111135079	111136411	CTCF	20.0	2.0	20	CTCF	289.788	301.25	301.25	1332	2083	0
chr2_112048889_112050095	6.285	0.0	chr2	112048889	112050095	CTCF	1.0	78.0	78	CTCF	5420.0	5420.0	5420.0	1206	2091	0
chr2_113297317_113297963	5.555	-0.006	chr2	113297317	113297963	CTCF	1.0	47.0	47	CTCF	367.504	369.0	369.0	646	2101	0
chr2_113587391_113587443	-6.57	-0.01	chr2	113587391	113587443	CTCF	95.0	1.0	95	CTCF	3478.007	3502.0	3502.0	52	2102	0
chr2_113603481_113604625	-7.7	0.001	chr2	113603481	113604625	CTCF	208.0	1.0	208	CTCF	887.0	886.501	887.0	1144	2103	0
chr2_114133281_114133490	-3.907	-0.77	chr2	114133281	114133490	CTCF	30.0	2.0	30	CTCF	297.664	507.5	507.5	209	2104	0
chr2_12716718_12716886	4.248	0.207	chr2	12716718	12716886	CTCF	2.0	38.0	38	CTCF	3060.0	2651.133	3060.0	168	2131	0
chr2_128318772_128319088	-3.524	0.191	chr2	128318772	128319088	CTCF	23.0	2.0	23	CTCF	472.75	414.124	472.75	316	2138	0
chr2_129936516_129936578	3.273	0.036	chr2	129936516	129936578	CTCF	15.0	145.0	145	CTCF	6748.5	6580.523	6748.5	62	2142	0
chr2_131682071_131682999	-6.087	-0.047	chr2	131682071	131682999	CTCF	136.0	2.0	136	CTCF	680.532	703.0	703.0	928	2150	0
chr2_131832017_131832133	5.15	-0.181	chr2	131832017	131832133	CTCF	2.0	71.0	71	CTCF	3486.118	3952.0	3952.0	116	2151	0
chr2_137056801_137057210	4.322	1.511	chr2	137056801	137057210	CTCF	1.0	20.0	20	CTCF	1032.5	362.149	1032.5	409	2156	0
chr2_140964473_140964617	6.755	-0.017	chr2	140964473	140964617	CTCF	1.0	108.0	108	CTCF	4243.011	4292.0	4292.0	144	2159	0
chr2_149561312_149561696	-6.209	-0.001	chr2	149561312	149561696	CTCF	74.0	1.0	74	CTCF	4202.999	4205.0	4205.0	384	2167	0
chr2_152466171_152466229	-3.755	-2.289	chr2	152466171	152466229	CTCF	27.0	2.0	27	CTCF	503.795	2462.5	2462.5	58	2172	0
chr2_171567981_171568390	-3.807	-0.584	chr2	171567981	171568390	CTCF	42.0	3.0	42	CTCF	512.833	769.0	769.0	409	2201	0
chr2_17470906_17471122	-7.066	0.047	chr2	17470906	17471122	CTCF	134.0	1.0	134	CTCF	6758.0	6541.032	6758.0	216	2213	0
chr2_177622706_177622798	4.562	3.326	chr2	177622706	177622798	CTCF	8.0	189.0	189	CTCF	3852.75	384.275	3852.75	92	2220	0
chr2_189466813_189466937	-4.672	0.034	chr2	189466813	189466937	CTCF	51.0	2.0	51	CTCF	4757.0	4647.021	4757.0	124	2235	0
