variant_id	DIFF_LOG2_data1	DIFF_LOG2_data2	CHR	POS1	POS2	transcription_factor_data1	haplotype1_data1	haplotype2_data1	HMAX_data1	transcription_factor_data2	haplotype1_data2	haplotype2_data2	HMAX_data2	LENGTH	Unnamed: 0	btwn_lines	GENOME	prediction_quality
chr1_101238834_101238948	-0.139	-0.045	chr1	101238834	101238948	CTCF	142.0	129.0	142	CTCF	5748.53	5930.0	5930.0	114	0	1	HepG2	good
chr1_101238834_101238948	-0.139	-0.045	chr1	101238834	101238948	CTCF	142.0	129.0	142	CTCF	5748.53	5930.0	5930.0	114	0	0	HepG2	bad
chr1_101238875_101238999	0.447	0.001	chr1	101238875	101238999	CTCF_ENCSR000DKV	22.0	30.0	30	CTCF	11884.0	11878.989	11884.0	124	0	1	GM12878	good
chr1_101238875_101238999	0.177	0.001	chr1	101238875	101238999	CTCF_ENCSR000DRZ	23.0	26.0	26	CTCF	11884.0	11878.989	11884.0	124	0	1	GM12878	good
chr1_101238875_101238999	0.447	0.001	chr1	101238875	101238999	CTCF_ENCSR000DKV	22.0	30.0	30	CTCF	11884.0	11878.989	11884.0	124	0	0	GM12878	bad
chr1_101238875_101238999	0.177	0.001	chr1	101238875	101238999	CTCF_ENCSR000DRZ	23.0	26.0	26	CTCF	11884.0	11878.989	11884.0	124	0	0	GM12878	bad
chr1_101309250_101309720	-0.469	-0.004	chr1	101309250	101309720	CTCF_ENCSR000AKB	18.0	13.0	18	CTCF	10562.005	10592.0	10592.0	470	0	1	GM12878	good
chr1_101309250_101309720	0.061	-0.004	chr1	101309250	101309720	CTCF_ENCSR000DKV	23.0	24.0	24	CTCF	10562.005	10592.0	10592.0	470	1	1	GM12878	good
chr1_101309250_101309720	-0.469	-0.004	chr1	101309250	101309720	CTCF_ENCSR000AKB	18.0	13.0	18	CTCF	10562.005	10592.0	10592.0	470	0	0	GM12878	bad
chr1_101309250_101309720	0.061	-0.004	chr1	101309250	101309720	CTCF_ENCSR000DKV	23.0	24.0	24	CTCF	10562.005	10592.0	10592.0	470	1	0	GM12878	bad
chr1_101520318_101520536	0.276	0.01	chr1	101520318	101520536	CTCF_ENCSR000AKB	19.0	23.0	23	CTCF	8409.0	8353.0	8409.0	218	1	1	GM12878	good
chr1_101520318_101520536	0.214	0.01	chr1	101520318	101520536	CTCF_ENCSR000DKV	25.0	29.0	29	CTCF	8409.0	8353.0	8409.0	218	2	1	GM12878	good
chr1_101520318_101520536	-0.759	0.01	chr1	101520318	101520536	CTCF_ENCSR000DRZ	22.0	13.0	22	CTCF	8409.0	8353.0	8409.0	218	2	1	GM12878	good
